Player,Pos.,Caps,Goals,Debut Date,Last Date
Mick Fairclough,MF,2,0,1982,1982
Sean Fallon,DF,8,2,1950,1955
Willie Fallon,FW,9,2,1934,1939
Tom Farquharson,GK,4,0,1929,1931
Paddy Farrell,FW,2,0,1937,1937
Peter Farrell,MF,28,3,1946,1957
Gareth Farrelly,MF,6,0,1996,2000
Keith Fahey,MF,16,3,2010,2012
John Feenan,DF,2,0,1937,1937
Steve Finnan,DF,53,2,2000,2008
Al Finucane,MF,11,0,1967,1971
Jack Fitzgerald,FW,2,0,1955,1956
Peter Fitzgerald,FW,5,2,1960,1961
Kevin Fitzpatrick,GK,1,0,1969,1969
Arthur Fitzsimons,MF,26,8,1949,1959
Curtis Fleming,DF,10,0,1996,1998
John Joe Flood,DF,5,1,1926,1931
Amby Fogarty,MF,11,3,1960,1964
Caleb Folan,FW,7,0,2008,2009
Dominic Foley,FW,6,2,2000,2000
Jim Foley,GK,7,0,1934,1936
Kevin Foley,DF,8,0,2009,2011
Mick Foley,DF,1,0,1926,1926
Theo Foley,DF,9,0,1964,1967
David Forde,GK,23,0,2011,2014
Tommy Foy,FW,2,0,1937,1939
Bob Fullam,FW,2,1,1926,1927
Johnny Fullam,MF,11,1,1960,1969
Patsy Gallacher,FW,1,0,1931,1931
Charlie Gallagher,FW,2,0,1967,1967
Mike Gallagher,DF,1,0,1954,1954
Tony Galvin,MF,29,1,1982,1989
Joe Gamble,MF,2,0,2007,2007
Eddie Gannon,MF,14,0,1948,1955
Mick Gannon,DF,1,0,1971,1971
Peadar Gaskins,DF,7,0,1934,1938
Johnny Gavin,MF,7,2,1949,1956
Matty Geoghegan,FW,2,2,1936,1937
Shay Gibbons,FW,4,0,1952,1955
Darron Gibson,MF,25,1,2007,2014
Bobby Gilbert,FW,1,0,1966,1966
Chris Giles,MF,1,0,1950,1950
Johnny Giles,MF,59,5,1959,1979
Shay Given,GK,134,0,1996,2016
Don Givens,FW,56,19,1969,1981
Stephen Gleeson,MF,2,0,2007,2007
William Glen,DF,8,0,1927,1936
Dessie Glynn,FW,2,1,1951,1955
Tommy Godwin,GK,13,0,1949,1958
Joseph Golding,FW,2,0,1928,1930
Jon Goodman,FW,4,0,1997,1997
Jim Goodwin,DF,1,0,2002,2002
Bill Gorman,DF,13,0,1936,1947
Joe Grace,FW,1,0,1926,1926
Tony Grealish,MF,45,8,1976,1985
Paul Green,MF,20,1,2010,2013
Eamonn Gregg,DF,8,0,1978,1979
Dick Griffiths,FW,1,0,1934,1934
Ashley Grimes,DF,18,1,1978,1988
Alfie Hale,FW,14,2,1962,1973
Tommy Hamilton,FW,2,0,1959,1959
Eoin Hand,DF,20,2,1969,1975
Bill Harrington,GK,5,0,1935,1938
Ian Harte,DF,63,12,1996,2007
Jimmy Hartnett,FW,2,0,1949,1954
Joe Haverty,MF,32,3,1956,1966
Austin Hayes,MF,1,0,1979,1979
Bill Hayes,DF,2,0,1946,1947
Willie Hayes,GK,1,0,1949,1949
Ron Healey,GK,2,0,1977,1980
Colin Healy,MF,13,1,2002,2003
Steve Heighway,MF,34,0,1970,1981
Benny Henderson,FW,2,0,1948,1948
Wayne Henderson,GK,6,0,2006,2007
Jeff Hendrick,MF,11,0,2013,2015
Jackie Hennessy,FW,5,0,1964,1968
John Herrick,DF,3,0,1971,1973
Jim Higgins,MF,1,0,1951,1951
Matt Holland,MF,48,5,1999,2005
Jimmy Holmes,DF,30,1,1971,1981
Wes Hoolahan,MF,20,2,2008,2015
Fred Horlacher,FW,7,2,1930,1936
Ray Houghton,MF,73,6,1986,1997
Gary Howlett,MF,1,0,1984,1984
Mick Hoy,DF,6,0,1937,1939
Chris Hughton,DF,53,2,1979,1991
Noel Hunt,FW,3,0,2008,2009
Stephen Hunt,MF,39,1,2007,2012
Charlie Hurley,DF,40,2,1957,1969
Freddie Hutchinson,DF,2,0,1935,1935
Stephen Ireland,MF,6,4,2006,2007
Denis Irwin,DF,56,4,1990,1999
Billy Jordan,FW,2,0,1934,1937
Davy Jordan,FW,2,1,1937,1937
Graham Kavanagh,MF,16,1,1998,2006
Peter Kavanagh,FW,2,0,1931,1931
Robbie Keane,FW,146,68,1998,2016
Rory Keane,DF,4,0,1948,1949
Roy Keane,MF,67,9,1991,2005
Mick Kearin,MF,1,0,1971,1971
Freddie Kearns,FW,1,0,1954,1954
Mick Kearns,GK,18,0,1970,1979
Alan Kelly Jr.,GK,34,0,1993,2001
Alan Kelly Sr.,GK,47,0,1956,1973
David Kelly,FW,26,9,1987,1997
Gary Kelly,DF,52,2,1994,2002
Jimmy Kelly,FW,4,2,1932,1936
Mark Kelly,MF,4,0,1988,1990
Noel Kelly,FW,1,0,1954,1954
Phil Kelly,DF,5,0,1960,1961
Stephen Kelly,DF,38,0,2006,2013
Joe Kendrick Sr.,FW,4,0,1927,1935
Jeff Kenna,DF,27,0,1995,1999
Mark Kennedy,MF,34,4,1995,2002
Mick Kennedy,MF,2,0,1986,1986
Willie Kennedy,FW,3,0,1932,1934
Paddy Kenny,GK,7,0,2004,2006
Andy Keogh,FW,30,2,2007,2012
John Keogh,DF,1,0,1966,1966
Richard Keogh,DF,7,1,2013,2014
Shay Keogh,DF,1,0,1958,1958
Alan Kernaghan,DF,22,1,1992,1996
Dean Kiely,GK,11,0,1999,2008
Fred Kiernan,GK,5,0,1951,1952
Kevin Kilbane,MF,110,8,1997,2011
Joe Kinnear,DF,26,0,1967,1975
Joe Kinsella,DF,1,0,1928,1928
Mark Kinsella,MF,48,3,1998,2004
Owen Kinsella,DF,2,0,1932,1937
Alec Kirkland,DF,1,0,1927,1927
Bill Lacey,MF,3,1,1927,1930
Dave Langan,DF,26,0,1978,1987
Joseph Lapira,FW,1,0,2007,2007
Robin Lawler,MF,8,0,1953,1955
Kit Lawlor,FW,3,0,1949,1951
Mick Lawlor,MF,5,0,1970,1973
Liam Lawrence,MF,15,2,2009,2011
Mark Lawrenson,DF,39,5,1977,1987
Alan Lee,FW,10,0,2003,2006
Mick Leech,FW,8,2,1969,1972
Charlie Lennon,DF,3,0,1934,1935
George Lennox,DF,2,0,1931,1931
Shane Long,FW,55,13,2007,2015
Dinny Lowry,GK,1,0,1962,1962
Dicky Lunn,DF,2,0,1938,1938
Miah Lynch,DF,1,0,1934,1934
Alan Mahon,MF,2,0,2000,2000
Jon Macken,FW,1,0,2004,2004
Tony Macken,DF,1,0,1977,1977
Gerry Mackey,DF,2,0,1956,1957
Owen Madden,FW,1,1,1936,1936
Jim Maguire,DF,1,0,1929,1929
Gerry Malone,FW,1,0,1949,1949
Terry Mancini,DF,5,1,1973,1974
Christy Martin,FW,1,0,1927,1927
Con Martin,DF,30,6,1946,1956
Mick Martin,MF,52,4,1971,1983
Alan Maybury,DF,10,0,1998,2005
Jimmy McAlinden,MF,2,0,1946,1946
Jason McAteer,MF,52,3,1994,2004
Maxie McCann,FW,1,1,1956,1956
Jack McCarthy,DF,3,0,1926,1930
James McCarthy,MF,28,0,2010,2015
Mick McCarthy,DF,57,2,1984,1992
Mick McCarthy,GK,1,0,1932,1932
James McClean,MF,27,4,2012,2015
Tommy McConville,DF,6,0,1971,1973
Jacko McDonagh,DF,3,0,1983,1984
Jim McDonagh,GK,25,0,1981,1985
Andy McEvoy,FW,17,6,1961,1967
Aiden McGeady,MF,77,5,2004,2015
Paul McGee,FW,15,4,1978,1980
David McGoldrick,FW,2,0,2014,2014
Eddie McGoldrick,MF,15,0,1992,1995
Danny McGowan,MF,3,0,1949,1949
Johnny McGowan,DF,1,0,1947,1947
Mick McGrath,MF,22,0,1958,1967
Paul McGrath,DF,83,8,1985,1997
Bill McGuire,DF,1,0,1935,1935
George McKenzie,GK,9,0,1937,1939
Alan McLoughlin,MF,42,2,1990,1999
Frank McLoughlin,FW,2,0,1930,1931
Billy McMillan,DF,2,0,1946,1946
Brendan McNally,DF,3,0,1959,1962
Stephen McPhail,MF,10,1,2000,2004
Paul McShane,DF,31,0,2006,2013
Mick Meagan,DF,17,0,1961,1969
Paddy Meehan,FW,1,0,1934,1934
David Meyler,MF,13,0,2012,2014
Liam Miller,MF,21,1,2004,2009
Mike Milligan,MF,1,0,1992,1992
Paddy Monaghan,FW,2,0,1935,1935
Jackie Mooney,FW,2,1,1964,1965
Alan Moore,MF,8,0,1996,1996
Paddy Moore,FW,9,7,1931,1936
Kevin Moran,DF,71,6,1980,1994
Tommy Moroney,MF,12,1,1948,1953
Chris Morris,DF,35,0,1987,1993
Clinton Morrison,FW,36,9,2001,2006
Con Moulson,DF,5,0,1936,1937
George Moulson,GK,3,0,1948,1948
Cathal Muckian,FW,1,0,1978,1978
Tommy Muldoon,MF,1,0,1927,1927
Paddy Mulligan,DF,50,1,1969,1979
Liam Munroe,FW,1,0,1953,1953
Albie Murphy,DF,1,0,1955,1955
Barry Murphy,DF,1,0,1986,1986
Daryl Murphy,FW,9,0,2007,2015
Jerry Murphy,MF,3,0,1979,1980
Joe Murphy,GK,2,0,2003,2010
Peter Murphy,DF,1,0,2007,2007
Terry Murray,FW,1,0,1950,1950
Billy Newman,MF,1,0,1969,1969
Eddie Nolan,DF,3,0,2009,2009
Ronnie Nolan,DF,10,0,1956,1962
Alan O'Brien,MF,5,0,2006,2007
Andy O'Brien,DF,26,1,2001,2006
Fran O'Brien,MF,3,0,1979,1980
Joey O'Brien,MF,5,0,2006,2012
Liam O'Brien,MF,16,0,1986,1996
Mick O'Brien,MF,4,0,1927,1932
Ray O'Brien,DF,5,0,1976,1980
Lar O'Byrne,DF,1,0,1949,1949
Brendan O'Callaghan,FW,6,0,1979,1982
Kevin O'Callaghan,MF,21,1,1981,1987
Joe O'Cearuill,DF,2,0,2007,2007
Tony O'Connell,FW,2,0,1966,1970
Tommy O'Connor,FW,4,0,1949,1949
Turlough O'Connor,MF,8,0,1967,1973
Darren O'Dea,DF,20,1,2009,2013
Jackie O'Driscoll,MF,3,0,1948,1949
Sean O'Driscoll,MF,3,0,1982,1982
Frank O'Farrell,DF,9,2,1952,1959
Kevin O'Flanagan,FW,10,3,1937,1947
Mick O'Flanagan,FW,1,0,1946,1946
Stephen O'Halloran,DF,2,0,2007,2007
Kelham O'Hanlon,GK,1,0,1987,1987
Paddy O'Kane,DF,3,0,1934,1935
Eamonn O'Keefe,FW,5,1,1981,1985
Tim O'Keefe,FW,3,0,1934,1938
David O'Leary,DF,68,1,1976,1993
Pierce O'Leary,DF,7,0,1979,1980
Matt O'Mahoney,DF,6,0,1938,1939
Frank O'Neill,MF,20,1,1961,1971
Jimmy O'Neill,GK,17,0,1952,1959
John O'Neill,DF,1,0,1960,1960
Keith O'Neill,FW,13,4,1996,1999
Willie O'Neill,DF,11,0,1935,1939
Kieran O'Regan,MF,4,0,1983,1985
Jack O'Reilly,FW,2,1,1946,1946
Joe O'Reilly,MF,20,2,1932,1939
John O'Shea,DF,103,3,2001,2015
Alex Pearce,DF,5,2,2012,2014
Gerry Peyton,GK,33,0,1977,1992
