"Statistic","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2012","Kilkenny","Both sexes","Euro","636.35"
"Mean Weekly Earnings","2012","Kilkenny","Male","Euro","726.45"
"Mean Weekly Earnings","2012","Kilkenny","Female","Euro","562.12"
"Mean Weekly Earnings","2012","Laois","Both sexes","Euro","637.31"
"Mean Weekly Earnings","2012","Laois","Male","Euro","723.77"
"Mean Weekly Earnings","2012","Laois","Female","Euro","560.6"
"Mean Weekly Earnings","2012","Longford","Both sexes","Euro","582.89"
"Mean Weekly Earnings","2012","Longford","Male","Euro","634.41"
"Mean Weekly Earnings","2012","Longford","Female","Euro","536.24"
"Mean Weekly Earnings","2012","Louth","Both sexes","Euro","634.19"
"Mean Weekly Earnings","2012","Louth","Male","Euro","717.44"
"Mean Weekly Earnings","2012","Louth","Female","Euro","556.58"
"Mean Weekly Earnings","2012","Meath","Both sexes","Euro","698.7"
"Mean Weekly Earnings","2012","Meath","Male","Euro","820.27"
"Mean Weekly Earnings","2012","Meath","Female","Euro","585.74"
"Mean Weekly Earnings","2012","Offaly","Both sexes","Euro","609.04"
"Mean Weekly Earnings","2012","Offaly","Male","Euro","682.55"
"Mean Weekly Earnings","2012","Offaly","Female","Euro","539.91"
"Mean Weekly Earnings","2012","Westmeath","Both sexes","Euro","632.49"
"Mean Weekly Earnings","2012","Westmeath","Male","Euro","711.52"
"Mean Weekly Earnings","2012","Westmeath","Female","Euro","560.84"
"Mean Weekly Earnings","2012","Wexford","Both sexes","Euro","578.72"
"Mean Weekly Earnings","2012","Wexford","Male","Euro","658.77"
"Mean Weekly Earnings","2012","Wexford","Female","Euro","510.33"
"Mean Weekly Earnings","2012","Wicklow","Both sexes","Euro","700.96"
"Mean Weekly Earnings","2012","Wicklow","Male","Euro","834.05"
"Mean Weekly Earnings","2012","Wicklow","Female","Euro","581.56"
"Mean Weekly Earnings","2012","Clare","Both sexes","Euro","653.58"
"Mean Weekly Earnings","2012","Clare","Male","Euro","763.04"
"Mean Weekly Earnings","2012","Clare","Female","Euro","558.8"
"Mean Weekly Earnings","2012","Cork","Both sexes","Euro","675.03"
"Mean Weekly Earnings","2012","Cork","Male","Euro","791.16"
"Mean Weekly Earnings","2012","Cork","Female","Euro","567"
"Mean Weekly Earnings","2012","Kerry","Both sexes","Euro","581.06"
"Mean Weekly Earnings","2012","Kerry","Male","Euro","658.99"
"Mean Weekly Earnings","2012","Kerry","Female","Euro","515.52"
"Mean Weekly Earnings","2012","Limerick","Both sexes","Euro","658.68"
"Mean Weekly Earnings","2012","Limerick","Male","Euro","761.81"
"Mean Weekly Earnings","2012","Limerick","Female","Euro","561.48"
"Mean Weekly Earnings","2012","Tipperary","Both sexes","Euro","615.44"
"Mean Weekly Earnings","2012","Tipperary","Male","Euro","702.78"
"Mean Weekly Earnings","2012","Tipperary","Female","Euro","539.02"
"Mean Weekly Earnings","2012","Waterford","Both sexes","Euro","626.93"
"Mean Weekly Earnings","2012","Waterford","Male","Euro","729.5"
"Mean Weekly Earnings","2012","Waterford","Female","Euro","534.94"
"Mean Weekly Earnings","2012","Galway","Both sexes","Euro","639.55"
"Mean Weekly Earnings","2012","Galway","Male","Euro","713.8"
"Mean Weekly Earnings","2012","Galway","Female","Euro","576.62"
"Mean Weekly Earnings","2012","Leitrim","Both sexes","Euro","592.15"
"Mean Weekly Earnings","2012","Leitrim","Male","Euro","646.91"
"Mean Weekly Earnings","2012","Leitrim","Female","Euro","549.22"
"Mean Weekly Earnings","2012","Mayo","Both sexes","Euro","583.48"
"Mean Weekly Earnings","2012","Mayo","Male","Euro","648.06"
"Mean Weekly Earnings","2012","Mayo","Female","Euro","529.58"
"Mean Weekly Earnings","2012","Roscommon","Both sexes","Euro","609.68"
"Mean Weekly Earnings","2012","Roscommon","Male","Euro","677.9"
"Mean Weekly Earnings","2012","Roscommon","Female","Euro","553.31"
"Mean Weekly Earnings","2012","Sligo","Both sexes","Euro","632.55"
