"Statistic","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2016","All counties (1)","Male","Euro","796.57"
"Mean Weekly Earnings","2016","All counties (1)","Female","Euro","600.32"
"Mean Weekly Earnings","2016","Carlow","Both sexes","Euro","600.14"
"Mean Weekly Earnings","2016","Carlow","Male","Euro","671.43"
"Mean Weekly Earnings","2016","Carlow","Female","Euro","525.42"
"Mean Weekly Earnings","2016","Dublin","Both sexes","Euro","794.51"
"Mean Weekly Earnings","2016","Dublin","Male","Euro","904.73"
"Mean Weekly Earnings","2016","Dublin","Female","Euro","682.62"
"Mean Weekly Earnings","2016","Kildare","Both sexes","Euro","746.77"
"Mean Weekly Earnings","2016","Kildare","Male","Euro","867.03"
"Mean Weekly Earnings","2016","Kildare","Female","Euro","621.09"
"Mean Weekly Earnings","2016","Kilkenny","Both sexes","Euro","639.27"
"Mean Weekly Earnings","2016","Kilkenny","Male","Euro","721.47"
"Mean Weekly Earnings","2016","Kilkenny","Female","Euro","564.92"
"Mean Weekly Earnings","2016","Laois","Both sexes","Euro","643.75"
"Mean Weekly Earnings","2016","Laois","Male","Euro","725.26"
"Mean Weekly Earnings","2016","Laois","Female","Euro","564"
"Mean Weekly Earnings","2016","Longford","Both sexes","Euro","589.08"
"Mean Weekly Earnings","2016","Longford","Male","Euro","641.59"
"Mean Weekly Earnings","2016","Longford","Female","Euro","535.25"
"Mean Weekly Earnings","2016","Louth","Both sexes","Euro","632.81"
"Mean Weekly Earnings","2016","Louth","Male","Euro","712.79"
"Mean Weekly Earnings","2016","Louth","Female","Euro","550.49"
"Mean Weekly Earnings","2016","Meath","Both sexes","Euro","720.03"
"Mean Weekly Earnings","2016","Meath","Male","Euro","836.49"
"Mean Weekly Earnings","2016","Meath","Female","Euro","601.1"
"Mean Weekly Earnings","2016","Offaly","Both sexes","Euro","613.11"
"Mean Weekly Earnings","2016","Offaly","Male","Euro","680.94"
"Mean Weekly Earnings","2016","Offaly","Female","Euro","542.86"
"Mean Weekly Earnings","2016","Westmeath","Both sexes","Euro","647.04"
"Mean Weekly Earnings","2016","Westmeath","Male","Euro","725.63"
"Mean Weekly Earnings","2016","Westmeath","Female","Euro","566.74"
"Mean Weekly Earnings","2016","Wexford","Both sexes","Euro","580.87"
"Mean Weekly Earnings","2016","Wexford","Male","Euro","654.97"
"Mean Weekly Earnings","2016","Wexford","Female","Euro","510.03"
"Mean Weekly Earnings","2016","Wicklow","Both sexes","Euro","724.05"
"Mean Weekly Earnings","2016","Wicklow","Male","Euro","853.66"
"Mean Weekly Earnings","2016","Wicklow","Female","Euro","599.24"
"Mean Weekly Earnings","2016","Clare","Both sexes","Euro","663.5"
"Mean Weekly Earnings","2016","Clare","Male","Euro","769.62"
"Mean Weekly Earnings","2016","Clare","Female","Euro","566.33"
"Mean Weekly Earnings","2016","Cork","Both sexes","Euro","693.98"
"Mean Weekly Earnings","2016","Cork","Male","Euro","809.23"
"Mean Weekly Earnings","2016","Cork","Female","Euro","579.77"
"Mean Weekly Earnings","2016","Kerry","Both sexes","Euro","576.35"
"Mean Weekly Earnings","2016","Kerry","Male","Euro","655.14"
"Mean Weekly Earnings","2016","Kerry","Female","Euro","504.79"
"Mean Weekly Earnings","2016","Limerick","Both sexes","Euro","668.51"
"Mean Weekly Earnings","2016","Limerick","Male","Euro","766.23"
"Mean Weekly Earnings","2016","Limerick","Female","Euro","569.27"
"Mean Weekly Earnings","2016","Tipperary","Both sexes","Euro","616.15"
"Mean Weekly Earnings","2016","Tipperary","Male","Euro","694.75"
"Mean Weekly Earnings","2016","Tipperary","Female","Euro","541.21"
"Mean Weekly Earnings","2016","Waterford","Both sexes","Euro","630.84"
"Mean Weekly Earnings","2016","Waterford","Male","Euro","726.7"
"Mean Weekly Earnings","2016","Waterford","Female","Euro","536.47"
"Mean Weekly Earnings","2016","Galway","Both sexes","Euro","660.71"
"Mean Weekly Earnings","2016","Galway","Male","Euro","740.45"
"Mean Weekly Earnings","2016","Galway","Female","Euro","587.1"
"Mean Weekly Earnings","2016","Leitrim","Both sexes","Euro","590.23"
"Mean Weekly Earnings","2016","Leitrim","Male","Euro","646.55"
"Mean Weekly Earnings","2016","Leitrim","Female","Euro","541.86"
"Mean Weekly Earnings","2016","Mayo","Both sexes","Euro","593.2"
"Mean Weekly Earnings","2016","Mayo","Male","Euro","661.27"
"Mean Weekly Earnings","2016","Mayo","Female","Euro","532.38"
"Mean Weekly Earnings","2016","Roscommon","Both sexes","Euro","618.2"
"Mean Weekly Earnings","2016","Roscommon","Male","Euro","680.39"
"Mean Weekly Earnings","2016","Roscommon","Female","Euro","560.89"
"Mean Weekly Earnings","2016","Sligo","Both sexes","Euro","623.11"
"Mean Weekly Earnings","2016","Sligo","Male","Euro","685.5"
"Mean Weekly Earnings","2016","Sligo","Female","Euro","568.97"
"Mean Weekly Earnings","2016","Cavan","Both sexes","Euro","597.18"
"Mean Weekly Earnings","2016","Cavan","Male","Euro","665.41"
"Mean Weekly Earnings","2016","Cavan","Female","Euro","528.22"
"Mean Weekly Earnings","2016","Donegal","Both sexes","Euro","529.04"
"Mean Weekly Earnings","2016","Donegal","Male","Euro","577.45"
"Mean Weekly Earnings","2016","Donegal","Female","Euro","485.63"
"Mean Weekly Earnings","2016","Monaghan","Both sexes","Euro","555.07"
"Mean Weekly Earnings","2016","Monaghan","Male","Euro","596.54"
"Mean Weekly Earnings","2016","Monaghan","Female","Euro","513.52"
"Mean Weekly Earnings","2017","All counties (1)","Both sexes","Euro","716.4"
"Mean Weekly Earnings","2017","All counties (1)","Male","Euro","817.74"
"Mean Weekly Earnings","2017","All counties (1)","Female","Euro","616.3"
"Mean Weekly Earnings","2017","Carlow","Both sexes","Euro","614.62"
"Mean Weekly Earnings","2017","Carlow","Male","Euro","688.91"
"Mean Weekly Earnings","2017","Carlow","Female","Euro","536.62"
"Mean Weekly Earnings","2017","Dublin","Both sexes","Euro","816.88"
"Mean Weekly Earnings","2017","Dublin","Male","Euro","931"
"Mean Weekly Earnings","2017","Dublin","Female","Euro","700.92"
"Mean Weekly Earnings","2017","Kildare","Both sexes","Euro","767.35"
"Mean Weekly Earnings","2017","Kildare","Male","Euro","889.39"
"Mean Weekly Earnings","2017","Kildare","Female","Euro","639.81"
"Mean Weekly Earnings","2017","Kilkenny","Both sexes","Euro","660.1"
"Mean Weekly Earnings","2017","Kilkenny","Male","Euro","743.8"
"Mean Weekly Earnings","2017","Kilkenny","Female","Euro","583.77"
"Mean Weekly Earnings","2017","Laois","Both sexes","Euro","662.4"
"Mean Weekly Earnings","2017","Laois","Male","Euro","744.36"
"Mean Weekly Earnings","2017","Laois","Female","Euro","581.95"
"Mean Weekly Earnings","2017","Longford","Both sexes","Euro","599.77"
"Mean Weekly Earnings","2017","Longford","Male","Euro","651.32"
"Mean Weekly Earnings","2017","Longford","Female","Euro","546.71"
"Mean Weekly Earnings","2017","Louth","Both sexes","Euro","649.4"
"Mean Weekly Earnings","2017","Louth","Male","Euro","733.25"
"Mean Weekly Earnings","2017","Louth","Female","Euro","562.44"
"Mean Weekly Earnings","2017","Meath","Both sexes","Euro","739.79"
"Mean Weekly Earnings","2017","Meath","Male","Euro","860.88"
"Mean Weekly Earnings","2017","Meath","Female","Euro","616.3"
"Mean Weekly Earnings","2017","Offaly","Both sexes","Euro","631.38"
"Mean Weekly Earnings","2017","Offaly","Male","Euro","700.12"
"Mean Weekly Earnings","2017","Offaly","Female","Euro","559.18"
"Mean Weekly Earnings","2017","Westmeath","Both sexes","Euro","658.98"
"Mean Weekly Earnings","2017","Westmeath","Male","Euro","739.69"
"Mean Weekly Earnings","2017","Westmeath","Female","Euro","577.02"
"Mean Weekly Earnings","2017","Wexford","Both sexes","Euro","597.22"
"Mean Weekly Earnings","2017","Wexford","Male","Euro","673.35"
"Mean Weekly Earnings","2017","Wexford","Female","Euro","523.97"
"Mean Weekly Earnings","2017","Wicklow","Both sexes","Euro","739.07"
"Mean Weekly Earnings","2017","Wicklow","Male","Euro","866.82"
"Mean Weekly Earnings","2017","Wicklow","Female","Euro","616.04"
"Mean Weekly Earnings","2017","Clare","Both sexes","Euro","681.98"
"Mean Weekly Earnings","2017","Clare","Male","Euro","790.24"
"Mean Weekly Earnings","2017","Clare","Female","Euro","581.34"
"Mean Weekly Earnings","2017","Cork","Both sexes","Euro","711.23"
"Mean Weekly Earnings","2017","Cork","Male","Euro","829.68"
"Mean Weekly Earnings","2017","Cork","Female","Euro","594.24"
"Mean Weekly Earnings","2017","Kerry","Both sexes","Euro","593.03"
"Mean Weekly Earnings","2017","Kerry","Male","Euro","672.09"
"Mean Weekly Earnings","2017","Kerry","Female","Euro","520.31"
"Mean Weekly Earnings","2017","Limerick","Both sexes","Euro","685.46"
"Mean Weekly Earnings","2017","Limerick","Male","Euro","785.79"
"Mean Weekly Earnings","2017","Limerick","Female","Euro","583.36"
"Mean Weekly Earnings","2017","Tipperary","Both sexes","Euro","635.7"
"Mean Weekly Earnings","2017","Tipperary","Male","Euro","719.33"
"Mean Weekly Earnings","2017","Tipperary","Female","Euro","556.62"
"Mean Weekly Earnings","2017","Waterford","Both sexes","Euro","650.52"
"Mean Weekly Earnings","2017","Waterford","Male","Euro","752.09"
"Mean Weekly Earnings","2017","Waterford","Female","Euro","551.07"
"Mean Weekly Earnings","2017","Galway","Both sexes","Euro","680.32"
"Mean Weekly Earnings","2017","Galway","Male","Euro","762.42"
"Mean Weekly Earnings","2017","Galway","Female","Euro","604.75"
"Mean Weekly Earnings","2017","Leitrim","Both sexes","Euro","606.8"
"Mean Weekly Earnings","2017","Leitrim","Male","Euro","663.54"
"Mean Weekly Earnings","2017","Leitrim","Female","Euro","557.23"
"Mean Weekly Earnings","2017","Mayo","Both sexes","Euro","604.82"
"Mean Weekly Earnings","2017","Mayo","Male","Euro","670.37"
"Mean Weekly Earnings","2017","Mayo","Female","Euro","546.42"
"Mean Weekly Earnings","2017","Roscommon","Both sexes","Euro","634.44"
"Mean Weekly Earnings","2017","Roscommon","Male","Euro","700.01"
"Mean Weekly Earnings","2017","Roscommon","Female","Euro","573.46"
"Mean Weekly Earnings","2017","Sligo","Both sexes","Euro","639.16"
"Mean Weekly Earnings","2017","Sligo","Male","Euro","702.82"
"Mean Weekly Earnings","2017","Sligo","Female","Euro","583.84"
"Mean Weekly Earnings","2017","Cavan","Both sexes","Euro","611.66"
"Mean Weekly Earnings","2017","Cavan","Male","Euro","681.81"
"Mean Weekly Earnings","2017","Cavan","Female","Euro","540.11"
"Mean Weekly Earnings","2017","Donegal","Both sexes","Euro","545.08"
"Mean Weekly Earnings","2017","Donegal","Male","Euro","592.55"
"Mean Weekly Earnings","2017","Donegal","Female","Euro","502.02"
"Mean Weekly Earnings","2017","Monaghan","Both sexes","Euro","568.89"
"Mean Weekly Earnings","2017","Monaghan","Male","Euro","615.35"
"Mean Weekly Earnings","2017","Monaghan","Female","Euro","521.81"
"Mean Weekly Earnings","2018","All counties (1)","Both sexes","Euro","740.72"
"Mean Weekly Earnings","2018","All counties (1)","Male","Euro","847.35"
"Mean Weekly Earnings","2018","All counties (1)","Female","Euro","635.12"
"Mean Weekly Earnings","2018","Carlow","Both sexes","Euro","633.16"
"Mean Weekly Earnings","2018","Carlow","Male","Euro","709.62"
"Mean Weekly Earnings","2018","Carlow","Female","Euro","552.22"
"Mean Weekly Earnings","2018","Dublin","Both sexes","Euro","847.41"
"Mean Weekly Earnings","2018","Dublin","Male","Euro","969.33"
"Mean Weekly Earnings","2018","Dublin","Female","Euro","723.17"
"Mean Weekly Earnings","2018","Kildare","Both sexes","Euro","792.87"
"Mean Weekly Earnings","2018","Kildare","Male","Euro","921.6"
"Mean Weekly Earnings","2018","Kildare","Female","Euro","659.2"
"Mean Weekly Earnings","2018","Kilkenny","Both sexes","Euro","683.36"
"Mean Weekly Earnings","2018","Kilkenny","Male","Euro","767.77"
"Mean Weekly Earnings","2018","Kilkenny","Female","Euro","606.64"
"Mean Weekly Earnings","2018","Laois","Both sexes","Euro","685.79"
"Mean Weekly Earnings","2018","Laois","Male","Euro","772.73"
"Mean Weekly Earnings","2018","Laois","Female","Euro","599.01"
"Mean Weekly Earnings","2018","Longford","Both sexes","Euro","614.8"
"Mean Weekly Earnings","2018","Longford","Male","Euro","667.21"
"Mean Weekly Earnings","2018","Longford","Female","Euro","559.78"
"Mean Weekly Earnings","2018","Louth","Both sexes","Euro","670.99"
"Mean Weekly Earnings","2018","Louth","Male","Euro","762.45"
"Mean Weekly Earnings","2018","Louth","Female","Euro","577.08"
"Mean Weekly Earnings","2018","Meath","Both sexes","Euro","761.37"
"Mean Weekly Earnings","2018","Meath","Male","Euro","887.47"
"Mean Weekly Earnings","2018","Meath","Female","Euro","634.54"
"Mean Weekly Earnings","2018","Offaly","Both sexes","Euro","650.04"
"Mean Weekly Earnings","2018","Offaly","Male","Euro","726.97"
"Mean Weekly Earnings","2018","Offaly","Female","Euro","570.17"
"Mean Weekly Earnings","2018","Westmeath","Both sexes","Euro","677.69"
"Mean Weekly Earnings","2018","Westmeath","Male","Euro","762.19"
"Mean Weekly Earnings","2018","Westmeath","Female","Euro","592.83"
"Mean Weekly Earnings","2018","Wexford","Both sexes","Euro","616.22"
"Mean Weekly Earnings","2018","Wexford","Male","Euro","696.18"
"Mean Weekly Earnings","2018","Wexford","Female","Euro","539.44"
"Mean Weekly Earnings","2018","Wicklow","Both sexes","Euro","764.18"
"Mean Weekly Earnings","2018","Wicklow","Male","Euro","899.25"
"Mean Weekly Earnings","2018","Wicklow","Female","Euro","634.11"
"Mean Weekly Earnings","2018","Clare","Both sexes","Euro","700.86"
"Mean Weekly Earnings","2018","Clare","Male","Euro","810.24"
"Mean Weekly Earnings","2018","Clare","Female","Euro","599.34"
"Mean Weekly Earnings","2018","Cork","Both sexes","Euro","740.27"
"Mean Weekly Earnings","2018","Cork","Male","Euro","865.64"
"Mean Weekly Earnings","2018","Cork","Female","Euro","615.37"
"Mean Weekly Earnings","2018","Kerry","Both sexes","Euro","609.33"
"Mean Weekly Earnings","2018","Kerry","Male","Euro","689.61"
"Mean Weekly Earnings","2018","Kerry","Female","Euro","535.34"
"Mean Weekly Earnings","2018","Limerick","Both sexes","Euro","707.82"
"Mean Weekly Earnings","2018","Limerick","Male","Euro","810.36"
"Mean Weekly Earnings","2018","Limerick","Female","Euro","602.86"
"Mean Weekly Earnings","2018","Tipperary","Both sexes","Euro","654.51"
"Mean Weekly Earnings","2018","Tipperary","Male","Euro","739.76"
"Mean Weekly Earnings","2018","Tipperary","Female","Euro","573.78"
"Mean Weekly Earnings","2018","Waterford","Both sexes","Euro","661.99"
"Mean Weekly Earnings","2018","Waterford","Male","Euro","761.12"
"Mean Weekly Earnings","2018","Waterford","Female","Euro","564.9"
"Mean Weekly Earnings","2018","Galway","Both sexes","Euro","701.69"
"Mean Weekly Earnings","2018","Galway","Male","Euro","785.81"
"Mean Weekly Earnings","2018","Galway","Female","Euro","623.31"
"Mean Weekly Earnings","2018","Leitrim","Both sexes","Euro","625.19"
"Mean Weekly Earnings","2018","Leitrim","Male","Euro","681.81"
"Mean Weekly Earnings","2018","Leitrim","Female","Euro","574.92"
"Mean Weekly Earnings","2018","Mayo","Both sexes","Euro","628.71"
"Mean Weekly Earnings","2018","Mayo","Male","Euro","700.74"
"Mean Weekly Earnings","2018","Mayo","Female","Euro","563.67"
"Mean Weekly Earnings","2018","Roscommon","Both sexes","Euro","653.67"
"Mean Weekly Earnings","2018","Roscommon","Male","Euro","722.62"
"Mean Weekly Earnings","2018","Roscommon","Female","Euro","590.07"
"Mean Weekly Earnings","2018","Sligo","Both sexes","Euro","658.18"
"Mean Weekly Earnings","2018","Sligo","Male","Euro","723.15"
"Mean Weekly Earnings","2018","Sligo","Female","Euro","601.09"
"Mean Weekly Earnings","2018","Cavan","Both sexes","Euro","632.47"
"Mean Weekly Earnings","2018","Cavan","Male","Euro","704.63"
"Mean Weekly Earnings","2018","Cavan","Female","Euro","559.43"
"Mean Weekly Earnings","2018","Donegal","Both sexes","Euro","564.53"
"Mean Weekly Earnings","2018","Donegal","Male","Euro","616.75"
"Mean Weekly Earnings","2018","Donegal","Female","Euro","516.98"
"Mean Weekly Earnings","2018","Monaghan","Both sexes","Euro","590.97"
"Mean Weekly Earnings","2018","Monaghan","Male","Euro","639.07"
"Mean Weekly Earnings","2018","Monaghan","Female","Euro","541.73"
"Median Weekly Earnings","2011","All counties (1)","Both sexes","Euro","544.6"
"Median Weekly Earnings","2011","All counties (1)","Male","Euro","616.29"
"Median Weekly Earnings","2011","All counties (1)","Female","Euro","480"
"Median Weekly Earnings","2011","Carlow","Both sexes","Euro","500.8"
"Median Weekly Earnings","2011","Carlow","Male","Euro","563.77"
"Median Weekly Earnings","2011","Carlow","Female","Euro","429.48"
"Median Weekly Earnings","2011","Dublin","Both sexes","Euro","590.94"
"Median Weekly Earnings","2011","Dublin","Male","Euro","666.36"
"Median Weekly Earnings","2011","Dublin","Female","Euro","524.45"
"Median Weekly Earnings","2011","Kildare","Both sexes","Euro","587.67"
"Median Weekly Earnings","2011","Kildare","Male","Euro","680.77"
"Median Weekly Earnings","2011","Kildare","Female","Euro","499.83"
"Median Weekly Earnings","2011","Kilkenny","Both sexes","Euro","534.1"
"Median Weekly Earnings","2011","Kilkenny","Male","Euro","599.82"
"Median Weekly Earnings","2011","Kilkenny","Female","Euro","474.54"
"Median Weekly Earnings","2011","Laois","Both sexes","Euro","550"
"Median Weekly Earnings","2011","Laois","Male","Euro","616.04"
"Median Weekly Earnings","2011","Laois","Female","Euro","490.04"
"Median Weekly Earnings","2011","Longford","Both sexes","Euro","493.12"
"Median Weekly Earnings","2011","Longford","Male","Euro","542.17"
"Median Weekly Earnings","2011","Longford","Female","Euro","446.25"
"Median Weekly Earnings","2011","Louth","Both sexes","Euro","512.65"
"Median Weekly Earnings","2011","Louth","Male","Euro","584.75"
"Median Weekly Earnings","2011","Louth","Female","Euro","444.34"
"Median Weekly Earnings","2011","Meath","Both sexes","Euro","574.54"
"Median Weekly Earnings","2011","Meath","Male","Euro","671.36"
"Median Weekly Earnings","2011","Meath","Female","Euro","495.01"
"Median Weekly Earnings","2011","Offaly","Both sexes","Euro","522.55"
"Median Weekly Earnings","2011","Offaly","Male","Euro","586.04"
"Median Weekly Earnings","2011","Offaly","Female","Euro","456.74"
"Median Weekly Earnings","2011","Westmeath","Both sexes","Euro","539.21"
"Median Weekly Earnings","2011","Westmeath","Male","Euro","613.63"
"Median Weekly Earnings","2011","Westmeath","Female","Euro","463.77"
"Median Weekly Earnings","2011","Wexford","Both sexes","Euro","477.4"
"Median Weekly Earnings","2011","Wexford","Male","Euro","541.59"
"Median Weekly Earnings","2011","Wexford","Female","Euro","417.07"
"Median Weekly Earnings","2011","Wicklow","Both sexes","Euro","557.69"
"Median Weekly Earnings","2011","Wicklow","Male","Euro","659.56"
"Median Weekly Earnings","2011","Wicklow","Female","Euro","477.46"
"Median Weekly Earnings","2011","Clare","Both sexes","Euro","533.8"
"Median Weekly Earnings","2011","Clare","Male","Euro","618.54"
"Median Weekly Earnings","2011","Clare","Female","Euro","466.36"
"Median Weekly Earnings","2011","Cork","Both sexes","Euro","543.8"
"Median Weekly Earnings","2011","Cork","Male","Euro","631.95"
"Median Weekly Earnings","2011","Cork","Female","Euro","464.79"
"Median Weekly Earnings","2011","Kerry","Both sexes","Euro","469.72"
"Median Weekly Earnings","2011","Kerry","Male","Euro","529.96"
"Median Weekly Earnings","2011","Kerry","Female","Euro","415.3"
"Median Weekly Earnings","2011","Limerick","Both sexes","Euro","535.36"
"Median Weekly Earnings","2011","Limerick","Male","Euro","608.66"
"Median Weekly Earnings","2011","Limerick","Female","Euro","469.34"
"Median Weekly Earnings","2011","Tipperary","Both sexes","Euro","516.62"
"Median Weekly Earnings","2011","Tipperary","Male","Euro","586.86"
"Median Weekly Earnings","2011","Tipperary","Female","Euro","448.16"
"Median Weekly Earnings","2011","Waterford","Both sexes","Euro","519.49"
"Median Weekly Earnings","2011","Waterford","Male","Euro","606.32"
"Median Weekly Earnings","2011","Waterford","Female","Euro","441.09"
"Median Weekly Earnings","2011","Galway","Both sexes","Euro","533.4"
"Median Weekly Earnings","2011","Galway","Male","Euro","582.02"
"Median Weekly Earnings","2011","Galway","Female","Euro","491.23"
"Median Weekly Earnings","2011","Leitrim","Both sexes","Euro","516.38"
"Median Weekly Earnings","2011","Leitrim","Male","Euro","558.9"
"Median Weekly Earnings","2011","Leitrim","Female","Euro","482.3"
"Median Weekly Earnings","2011","Mayo","Both sexes","Euro","489.63"
"Median Weekly Earnings","2011","Mayo","Male","Euro","549.35"
"Median Weekly Earnings","2011","Mayo","Female","Euro","440.33"
"Median Weekly Earnings","2011","Roscommon","Both sexes","Euro","533.92"
"Median Weekly Earnings","2011","Roscommon","Male","Euro","591.02"
"Median Weekly Earnings","2011","Roscommon","Female","Euro","473.47"
"Median Weekly Earnings","2011","Sligo","Both sexes","Euro","530.75"
"Median Weekly Earnings","2011","Sligo","Male","Euro","574.99"
"Median Weekly Earnings","2011","Sligo","Female","Euro","493.36"
"Median Weekly Earnings","2011","Cavan","Both sexes","Euro","503.22"
"Median Weekly Earnings","2011","Cavan","Male","Euro","555.93"
"Median Weekly Earnings","2011","Cavan","Female","Euro","448.27"
"Median Weekly Earnings","2011","Donegal","Both sexes","Euro","424.05"
"Median Weekly Earnings","2011","Donegal","Male","Euro","462.91"
"Median Weekly Earnings","2011","Donegal","Female","Euro","382.76"
"Median Weekly Earnings","2011","Monaghan","Both sexes","Euro","460.84"
"Median Weekly Earnings","2011","Monaghan","Male","Euro","492.31"
"Median Weekly Earnings","2011","Monaghan","Female","Euro","422.67"
"Median Weekly Earnings","2012","All counties (1)","Both sexes","Euro","541.79"
"Median Weekly Earnings","2012","All counties (1)","Male","Euro","609.25"
"Median Weekly Earnings","2012","All counties (1)","Female","Euro","479.38"
"Median Weekly Earnings","2012","Carlow","Both sexes","Euro","500"
"Median Weekly Earnings","2012","Carlow","Male","Euro","553.88"
"Median Weekly Earnings","2012","Carlow","Female","Euro","429.41"
"Median Weekly Earnings","2012","Dublin","Both sexes","Euro","587.79"
"Median Weekly Earnings","2012","Dublin","Male","Euro","657.41"
"Median Weekly Earnings","2012","Dublin","Female","Euro","525.93"
"Median Weekly Earnings","2012","Kildare","Both sexes","Euro","578.25"
"Median Weekly Earnings","2012","Kildare","Male","Euro","667.01"
"Median Weekly Earnings","2012","Kildare","Female","Euro","497.36"
"Median Weekly Earnings","2012","Kilkenny","Both sexes","Euro","532.35"
"Median Weekly Earnings","2012","Kilkenny","Male","Euro","596.78"
"Median Weekly Earnings","2012","Kilkenny","Female","Euro","477.45"
"Median Weekly Earnings","2012","Laois","Both sexes","Euro","546.88"
"Median Weekly Earnings","2012","Laois","Male","Euro","613.78"
"Median Weekly Earnings","2012","Laois","Female","Euro","483.83"
"Median Weekly Earnings","2012","Longford","Both sexes","Euro","491.93"
"Median Weekly Earnings","2012","Longford","Male","Euro","530.12"
"Median Weekly Earnings","2012","Longford","Female","Euro","448.12"
"Median Weekly Earnings","2012","Louth","Both sexes","Euro","521.22"
"Median Weekly Earnings","2012","Louth","Male","Euro","584.47"
"Median Weekly Earnings","2012","Louth","Female","Euro","457.57"
"Median Weekly Earnings","2012","Meath","Both sexes","Euro","571.59"
"Median Weekly Earnings","2012","Meath","Male","Euro","656.96"
"Median Weekly Earnings","2012","Meath","Female","Euro","495.75"
"Median Weekly Earnings","2012","Offaly","Both sexes","Euro","519"
"Median Weekly Earnings","2012","Offaly","Male","Euro","576.92"
"Median Weekly Earnings","2012","Offaly","Female","Euro","455.01"
"Median Weekly Earnings","2012","Westmeath","Both sexes","Euro","532.67"
"Median Weekly Earnings","2012","Westmeath","Male","Euro","602.69"
"Median Weekly Earnings","2012","Westmeath","Female","Euro","461.54"
"Median Weekly Earnings","2012","Wexford","Both sexes","Euro","476.92"
"Median Weekly Earnings","2012","Wexford","Male","Euro","537.85"
"Median Weekly Earnings","2012","Wexford","Female","Euro","419.09"
"Median Weekly Earnings","2012","Wicklow","Both sexes","Euro","550"
"Median Weekly Earnings","2012","Wicklow","Male","Euro","647.37"
"Median Weekly Earnings","2012","Wicklow","Female","Euro","469.44"
"Median Weekly Earnings","2012","Clare","Both sexes","Euro","532.34"
"Median Weekly Earnings","2012","Clare","Male","Euro","615.22"
"Median Weekly Earnings","2012","Clare","Female","Euro","470.71"
"Median Weekly Earnings","2012","Cork","Both sexes","Euro","544.36"
"Median Weekly Earnings","2012","Cork","Male","Euro","633.27"
"Median Weekly Earnings","2012","Cork","Female","Euro","463.35"
"Median Weekly Earnings","2012","Kerry","Both sexes","Euro","470.32"
"Median Weekly Earnings","2012","Kerry","Male","Euro","528.85"
"Median Weekly Earnings","2012","Kerry","Female","Euro","413.87"
"Median Weekly Earnings","2012","Limerick","Both sexes","Euro","531.93"
"Median Weekly Earnings","2012","Limerick","Male","Euro","604.64"
"Median Weekly Earnings","2012","Limerick","Female","Euro","461.63"
"Median Weekly Earnings","2012","Tipperary","Both sexes","Euro","513.27"
"Median Weekly Earnings","2012","Tipperary","Male","Euro","577.66"
"Median Weekly Earnings","2012","Tipperary","Female","Euro","447.1"
"Median Weekly Earnings","2012","Waterford","Both sexes","Euro","510.01"
"Median Weekly Earnings","2012","Waterford","Male","Euro","598.33"
"Median Weekly Earnings","2012","Waterford","Female","Euro","434.14"
"Median Weekly Earnings","2012","Galway","Both sexes","Euro","525"
"Median Weekly Earnings","2012","Galway","Male","Euro","572.03"
"Median Weekly Earnings","2012","Galway","Female","Euro","483.02"
"Median Weekly Earnings","2012","Leitrim","Both sexes","Euro","504.76"
"Median Weekly Earnings","2012","Leitrim","Male","Euro","550"
"Median Weekly Earnings","2012","Leitrim","Female","Euro","463.87"
"Median Weekly Earnings","2012","Mayo","Both sexes","Euro","486.58"
"Median Weekly Earnings","2012","Mayo","Male","Euro","546.71"
"Median Weekly Earnings","2012","Mayo","Female","Euro","432.43"
"Median Weekly Earnings","2012","Roscommon","Both sexes","Euro","520.98"
"Median Weekly Earnings","2012","Roscommon","Male","Euro","575.94"
"Median Weekly Earnings","2012","Roscommon","Female","Euro","465.65"
"Median Weekly Earnings","2012","Sligo","Both sexes","Euro","530.5"
"Median Weekly Earnings","2012","Sligo","Male","Euro","570.99"
"Median Weekly Earnings","2012","Sligo","Female","Euro","496.58"
"Median Weekly Earnings","2012","Cavan","Both sexes","Euro","500"
"Median Weekly Earnings","2012","Cavan","Male","Euro","556.21"
"Median Weekly Earnings","2012","Cavan","Female","Euro","448.05"
"Median Weekly Earnings","2012","Donegal","Both sexes","Euro","429.42"
"Median Weekly Earnings","2012","Donegal","Male","Euro","464.21"
"Median Weekly Earnings","2012","Donegal","Female","Euro","389.16"
"Median Weekly Earnings","2012","Monaghan","Both sexes","Euro","460.92"
"Median Weekly Earnings","2012","Monaghan","Male","Euro","490.85"
"Median Weekly Earnings","2012","Monaghan","Female","Euro","424.86"
"Median Weekly Earnings","2013","All counties (1)","Both sexes","Euro","547.1"
"Median Weekly Earnings","2013","All counties (1)","Male","Euro","610.21"
"Median Weekly Earnings","2013","All counties (1)","Female","Euro","484.6"
"Median Weekly Earnings","2013","Carlow","Both sexes","Euro","509.72"
"Median Weekly Earnings","2013","Carlow","Male","Euro","564.76"
"Median Weekly Earnings","2013","Carlow","Female","Euro","438.45"
"Median Weekly Earnings","2013","Dublin","Both sexes","Euro","589.83"
"Median Weekly Earnings","2013","Dublin","Male","Euro","656.81"
"Median Weekly Earnings","2013","Dublin","Female","Euro","530.02"
"Median Weekly Earnings","2013","Kildare","Both sexes","Euro","586.75"
"Median Weekly Earnings","2013","Kildare","Male","Euro","672.52"
